STATION;URL;STATUS;DAVIS
гяакеио-аматокийа*;http://penteli.meteo.gr/stations/heraclioneast/;200;True
хасос-килемас*;http://penteli.meteo.gr/stations/thasos/;200;True
хеодыяиама аятас*;http://penteli.meteo.gr/stations/theodoriana/;200;True
хеокоцос жхиыт.*;http://penteli.meteo.gr/stations/theologos/;200;True
хессакомийг*;http://penteli.meteo.gr/stations/thessaloniki/;200;True
хгба*;http://penteli.meteo.gr/stations/thiva/;200;True
иеяапетяа*;http://penteli.meteo.gr/stations/ierapetra/;200;True
ихайг*;http://penteli.meteo.gr/stations/ithaki/;200;True
ийаяиа*;http://penteli.meteo.gr/stations/ikaria/;200;True
илеяос яодопгс*;http://penteli.meteo.gr/stations/imeros/;200;True
иос*;http://penteli.meteo.gr/stations/ios/;200;True
иоукида йеа*;http://penteli.meteo.gr/stations/ioulida/;404;False
иппойяатеиос покитеиа*;http://penteli.meteo.gr/stations/ippokrateios/;200;True
исхлос йояимхоу*;http://penteli.meteo.gr/stations/isthmos/;200;True
иыаммима*;http://penteli.meteo.gr/stations/ioannina/;200;False
й. бкасиа аваиас*;http://penteli.meteo.gr/stations/katovlassia/;200;True
йаболакиас*;http://penteli.meteo.gr/stations/kavomalias/;200;True
йабомтояо*;http://penteli.meteo.gr/stations/kavodoro/;200;False
йаилайтсакам в/й*;http://penteli.meteo.gr/stations/kaimaktsalan/;200;True
йакабяута*;http://penteli.meteo.gr/stations/kalavryta/;200;True
йакалата*;http://penteli.meteo.gr/stations/kalamata/;200;True
йакалпайа*;http://penteli.meteo.gr/stations/kalampaka/;200;True
йакалпайи дяалас*;http://penteli.meteo.gr/stations/kalampaki/;200;True
йакемтфи аваиас*;http://penteli.meteo.gr/stations/kalentzi/;200;False
йакулмос*;http://penteli.meteo.gr/stations/kalymnos/;200;True
йамдамос вамиым*;http://penteli.meteo.gr/stations/kandanos/;200;False
йамтфа аттийгс*;http://penteli.meteo.gr/stations/kantza/;200;True
йапаяекки хгбым*;http://penteli.meteo.gr/stations/kaparelli/;200;True
йаяабостаси хеспяытиас*;http://penteli.meteo.gr/stations/karavostasi/;404;False
йаядалукг*;http://penteli.meteo.gr/stations/kardamyli/;200;True
йаядитса*;http://penteli.meteo.gr/stations/karditsa/;200;True
йаяпемгси*;http://penteli.meteo.gr/stations/karpenisi/;200;True
йасос*;http://penteli.meteo.gr/stations/kasos/;200;True
йассамдяеиа*;http://penteli.meteo.gr/stations/kassandreia/;200;True
йастояиа*;http://penteli.meteo.gr/stations/kastoria/;200;True
йастяитси аваиас*;http://penteli.meteo.gr/stations/kastritsi/;200;True
йатайоко гкеиас*;http://penteli.meteo.gr/stations/katakolo/;200;False
йатаяяайтгс аятас*;http://penteli.meteo.gr/stations/katarraktis/;200;True
йаттабиа яодоу*;http://penteli.meteo.gr/stations/kattavia/;200;True
йаты аваиа*;http://penteli.meteo.gr/stations/katoachaia/;404;False
йеа тфиа*;http://penteli.meteo.gr/stations/kea/;200;True
йеяасиа пеккас*;http://penteli.meteo.gr/stations/kerasia/;200;True
йеяасобо иыаммимым*;http://penteli.meteo.gr/stations/kerasovo/;200;False
йеяатеа*;http://penteli.meteo.gr/stations/keratea/;200;True
йеяйимг сеяяым*;http://penteli.meteo.gr/stations/kerkini/;200;True
йеяйуяа*;http://penteli.meteo.gr/stations/kerkyra/;200;True
йгжисиа*;http://penteli.meteo.gr/stations/kifissia/;200;True
йиато*;http://penteli.meteo.gr/stations/kiato/;200;True
йикйис*;http://penteli.meteo.gr/stations/kilkis/;200;True
йкеиди боиытиас*;http://penteli.meteo.gr/stations/kleidi/;200;True
йкеисоуяа йастояиас*;http://penteli.meteo.gr/stations/kleisoura/;200;False
ймыссос*;http://penteli.meteo.gr/stations/heraclion/;200;True
йофамг*;http://penteli.meteo.gr/stations/kozani/;200;True
йоилисг сеяяым*;http://penteli.meteo.gr/stations/kimisi/;200;True
йокулпаяи вамиым*;http://penteli.meteo.gr/stations/kolympari/;200;True
йолпоти аятас*;http://penteli.meteo.gr/stations/kompoti/;200;False
йомисйос тяийакым*;http://penteli.meteo.gr/stations/koniskos/;200;False
йомитса*;http://penteli.meteo.gr/stations/konitsa/;200;False
йопамайи лессгмиас*;http://penteli.meteo.gr/stations/kopanaki/;200;True
йопяаима аятас*;http://penteli.meteo.gr/stations/kopraina/;404;False
йояимос пиеяиас*;http://penteli.meteo.gr/stations/korinos/;200;True
йояудаккос*;http://penteli.meteo.gr/stations/korydallos/;200;True
йояымос маноу*;http://penteli.meteo.gr/stations/koronos/;200;True
йоужомгсиа*;http://penteli.meteo.gr/stations/koufonissia/;200;True
йяамиди*;http://penteli.meteo.gr/stations/kranidi/;200;True
йяиефа еубоиас*;http://penteli.meteo.gr/stations/krieza/;200;True
йяуомеяи йояимхиас*;http://penteli.meteo.gr/stations/kryoneri/;200;True
йулг еубоиас*;http://penteli.meteo.gr/stations/kymi/;200;True
йумидаяос маноу*;http://penteli.meteo.gr/stations/kynidaros/;200;False
йупаяиссиа*;http://penteli.meteo.gr/stations/kyparissia/;200;True
йуяиайи боиытиас*;http://penteli.meteo.gr/stations/kyriaki/;200;True
йыпаида*;http://penteli.meteo.gr/stations/kopaida/;200;True
йыс*;http://penteli.meteo.gr/stations/kos/;200;True
кацйадас*;http://penteli.meteo.gr/stations/lagadas/;200;True
кацйадиа аяйадиас*;http://penteli.meteo.gr/stations/lagadia/;200;True
каикиас сеяяым*;http://penteli.meteo.gr/stations/lailias/;200;True
калиа*;http://penteli.meteo.gr/stations/lamia/;200;True
калпеиа гкеиас*;http://penteli.meteo.gr/stations/lampia/;200;False
каппа аваиас*;http://penteli.meteo.gr/stations/lappa/;200;True
каяиса*;http://penteli.meteo.gr/stations/larissa/;200;True
каяиса-вакйг*;http://penteli.meteo.gr/stations/larissa-chalki/;200;True
кауйос лацмгсиас*;http://penteli.meteo.gr/stations/lafkos/;200;False
кауяио*;http://penteli.meteo.gr/stations/lavrio/;200;True
кебиди аяйадиас*;http://penteli.meteo.gr/stations/levidi/;200;True
кемтас гяайкеиоу*;http://penteli.meteo.gr/stations/lentas/;200;True
кепиама аятас*;http://penteli.meteo.gr/stations/lepiana/;200;True
кесбос-ациа паяасйеуг*;http://penteli.meteo.gr/stations/lesvos-agiaparaskevi/;200;True
кесбос-хеялг*;http://penteli.meteo.gr/stations/lesvos-thermi/;200;True
кеуйада*;http://penteli.meteo.gr/stations/lefkada/;200;False
кеуйовыяи жхиыт.*;http://penteli.meteo.gr/stations/lefkochori/;200;True
кглмос*;http://penteli.meteo.gr/stations/lemnos/;200;True
кибадеиа*;http://penteli.meteo.gr/stations/livadeia/;200;True
килмг пкастгяа*;http://penteli.meteo.gr/stations/plastira/;200;True
кимдос*;http://penteli.meteo.gr/stations/lindos/;200;True
коусийа аваиас*;http://penteli.meteo.gr/stations/olenia/;200;True
коутяайи*;http://penteli.meteo.gr/stations/loutraki/;200;True
куйовеиа аяйадиас*;http://penteli.meteo.gr/stations/lykochia/;200;True
лацоукиама аяйадиас*;http://penteli.meteo.gr/stations/magouliana/;200;True
лайяайылг*;http://penteli.meteo.gr/stations/makrakomi/;200;True
лайяимитса*;http://penteli.meteo.gr/stations/makrinitsa/;200;True
ламталадос кесбоу*;http://penteli.meteo.gr/stations/mantamados/;200;False
лаяйопоуко*;http://penteli.meteo.gr/stations/markopoulo/;200;True
лаялаяас вакйидийгс*;http://penteli.meteo.gr/stations/marmaras/;200;True
лаяоуси ахгма*;http://penteli.meteo.gr/stations/maroussi/;200;True
лауяокихаяи жыйида;http://penteli.meteo.gr/stations/mavrolithari/;200;True
лауяопгцг йофамгс*;http://penteli.meteo.gr/stations/mavropigi/;200;True
лецакопокг*;http://penteli.meteo.gr/stations/megalopoli/;200;False
лецакопокг-ьахи*;http://penteli.meteo.gr/stations/megalopoli-psathi/;404;False
лецистг кауяа*;http://penteli.meteo.gr/stations/megistilavra/;200;True
лекамес маноу*;http://penteli.meteo.gr/stations/melanes/;200;True
летанадес ебяоу*;http://penteli.meteo.gr/stations/metaxades/;200;True
летановыяи гяайк.*;http://penteli.meteo.gr/stations/metaxochori/;200;True
летсобо*;http://penteli.meteo.gr/stations/metsovo/;200;False
лгкос*;http://penteli.meteo.gr/stations/milos/;200;True
лийяг бицка маноу*;http://penteli.meteo.gr/stations/mikrivigla/;200;True
лийяойалпос дяалас*;http://penteli.meteo.gr/stations/mikrokampos/;200;True
лоияес - петяойежакиИ;http://penteli.meteo.gr/stations/moires/;200;True
локаои*;http://penteli.meteo.gr/stations/molaoi/;200;True
локубос кесбоу*;http://penteli.meteo.gr/stations/molyvos/;200;True
ломелбасиа*;http://penteli.meteo.gr/stations/monemvasia/;200;True
ломг паоу аяцакастгс*;http://penteli.meteo.gr/stations/monipaou/;200;True
лоямос1*;http://penteli.meteo.gr/stations/mornos1/;200;True
лоямос2*;http://penteli.meteo.gr/stations/mornos2/;200;True
лоямос3*;http://penteli.meteo.gr/stations/mornos3/;200;True
лоямос4*;http://penteli.meteo.gr/stations/mornos4/;404;False
луйомос килами*;http://penteli.meteo.gr/stations/mykonos/;200;True
луяийг йаяпем.*;http://penteli.meteo.gr/stations/myriki/;200;True
м.йослос ахгма*;http://penteli.meteo.gr/stations/neoskosmos/;200;False
манос*;http://penteli.meteo.gr/stations/naxos/;200;True
маоуса*;http://penteli.meteo.gr/stations/naousa/;200;True
меа лайяг*;http://penteli.meteo.gr/stations/neamakri/;200;True
меа лгвамиыма*;http://penteli.meteo.gr/stations/neamichaniona/;200;True
меа пеяалос йабакас*;http://penteli.meteo.gr/stations/neaperamos/;200;True
меа слуямг*;http://penteli.meteo.gr/stations/neasmyrni/;200;True
мелеа*;http://penteli.meteo.gr/stations/nemea/;200;True
меовыяи аятас*;http://penteli.meteo.gr/stations/neochoriarta/;200;True
меуяойопи*;http://penteli.meteo.gr/stations/nevrokopi/;200;True
мийаиа;http://penteli.meteo.gr/stations/nikaia/;200;True
мисуяос*;http://penteli.meteo.gr/stations/nisyros/;200;True
мотио педио йофамгс*;http://penteli.meteo.gr/stations/notiopedio/;200;True
намхг*;http://penteli.meteo.gr/stations/xanthi/;200;True
обяиа*;http://penteli.meteo.gr/stations/ovria/;404;False
окулпос-ац.дглгтяиос*;http://penteli.meteo.gr/stations/olympos/;200;True
ояеимг маупайтиа*;http://penteli.meteo.gr/stations/orininafpaktia/;200;True
ояестиада*;http://penteli.meteo.gr/stations/orestiada/;200;True
пакаио жакгяо*;http://penteli.meteo.gr/stations/faliro/;200;True
пакаиовыяа*;http://penteli.meteo.gr/stations/paleochora/;200;True
паккгмг аттийгс*;http://penteli.meteo.gr/stations/pallini/;200;True
паккгмг-CGS*;http://penteli.meteo.gr/stations/pallini-cgs/;200;True
памацопоука аваиас*;http://penteli.meteo.gr/stations/panagopoula/;200;False
памацоука файумхоу*;http://penteli.meteo.gr/stations/panagoula/;200;False
памаваийо ояос*;http://penteli.meteo.gr/stations/panachaiko/;200;True
панилада йаяустоу*;http://penteli.meteo.gr/stations/paximada/;200;False
панои*;http://penteli.meteo.gr/stations/paxoi/;200;True
папацоу*;http://penteli.meteo.gr/stations/papagou/;200;True
папицйо*;http://penteli.meteo.gr/stations/papigo/;200;True
паяакиа аваиас*;http://penteli.meteo.gr/stations/paralia/;200;False
паяалухиа*;http://penteli.meteo.gr/stations/paramythia/;200;True
паяамести дяалас*;http://penteli.meteo.gr/stations/paranesti/;200;True
паяца*;http://penteli.meteo.gr/stations/parga/;200;True
паямассос  жтеяок.*;http://penteli.meteo.gr/stations/fterolaka/;200;False
паямассос 2250 в/й*;http://penteli.meteo.gr/stations/parnassos/;200;True
паямассос в/й1950*;http://penteli.meteo.gr/stations/parnassos1950/;200;True
паямгха*;http://penteli.meteo.gr/stations/parnitha/;200;True
паяос*;http://penteli.meteo.gr/stations/paros/;200;True
патгсиа ахгма*;http://penteli.meteo.gr/stations/patissia/;200;True
патлос*;http://penteli.meteo.gr/stations/patmos/;200;True
патяа килами*;http://penteli.meteo.gr/stations/patra/;200;True
патяа яыламос*;http://penteli.meteo.gr/stations/patra-romanos/;200;True
патяа-памепистглио*;http://penteli.meteo.gr/stations/upatras/;200;True
пеияаиас*;http://penteli.meteo.gr/stations/pireas/;200;True
пеияаиас-паидацыцийг*;http://penteli.meteo.gr/stations/pireas-pedagogiki/;200;True
пемтекг-еаа*;http://penteli.meteo.gr/stations/penteli/;200;True
пеяала аттийгс*;http://penteli.meteo.gr/stations/perama/;200;True
пеяистеяи*;http://penteli.meteo.gr/stations/peristeri/;200;True
пеятоуки*;http://penteli.meteo.gr/stations/pertouli/;200;True
песта иыаммимым*;http://penteli.meteo.gr/stations/pesta/;200;True
петяа-кесбос*;http://penteli.meteo.gr/stations/lesvos/;200;True
петяоупокг*;http://penteli.meteo.gr/stations/petroupoli/;200;True
пгмеиа гкеиас*;http://penteli.meteo.gr/stations/pinia/;200;True
пкайиас яехулмоу*;http://penteli.meteo.gr/stations/plakias/;200;True
пкатамиас вамиым*;http://penteli.meteo.gr/stations/platanias/;200;False
пкгйати иыаммимым*;http://penteli.meteo.gr/stations/plikati/;200;True
покуцуяос*;http://penteli.meteo.gr/stations/polygyros/;200;True
покудяосо жыйидас*;http://penteli.meteo.gr/stations/polydroso/;200;True
поятаяиа пгкиоу*;http://penteli.meteo.gr/stations/portaria/;200;True
поято яажтг*;http://penteli.meteo.gr/stations/portorafti/;200;True
поталои яехулмоу*;http://penteli.meteo.gr/stations/fragmapotamon/;200;True
пяаламта иыаммимым*;http://penteli.meteo.gr/stations/pramanta/;200;True
пяасимо боиытиас*;http://penteli.meteo.gr/stations/prasino/;404;False
пяебефа*;http://penteli.meteo.gr/stations/preveza/;200;True
птокелаида Va*;http://penteli.meteo.gr/stations/ptolemaidaVa/;200;True
птокелаида Vb*;http://penteli.meteo.gr/stations/ptolemaidaVb/;200;True
птокелазда*;http://penteli.meteo.gr/stations/ptolemaida/;200;True
пукос*;http://penteli.meteo.gr/stations/pylos/;200;True
пуяахи гяайкеиоу*;http://penteli.meteo.gr/stations/pyrathi/;200;True
пуяцос гкеиас*;http://penteli.meteo.gr/stations/pirgos/;200;False
яажгма*;http://penteli.meteo.gr/stations/rafina/;200;True
яехулмо*;http://penteli.meteo.gr/stations/rethymno/;200;True
яехулмо-покг*;http://penteli.meteo.gr/stations/rethymnotown/;200;True
яифылата глахиас*;http://penteli.meteo.gr/stations/rizomata/;200;True
яио*;http://penteli.meteo.gr/stations/rio/;200;True
яодос покг*;http://penteli.meteo.gr/stations/rhodes/;200;True
сацаиийа*;http://penteli.meteo.gr/stations/sagaiika/;200;False
сакалима;http://meteoclima.hua.gr/stations/salamina/;200;True
салаяиа*;http://penteli.meteo.gr/stations/samaria/;200;True
салаяиа-жаяацци*;http://penteli.meteo.gr/stations/samariagorge/;200;True
салохяайг*;http://penteli.meteo.gr/stations/samothraki/;200;True
салос-йаякобаси*;http://penteli.meteo.gr/stations/samos/;200;True
самтояимг*;http://penteli.meteo.gr/stations/santorini/;200;True
секи в/й*;http://penteli.meteo.gr/stations/seli/;200;True
селпяымас вамиым*;http://penteli.meteo.gr/stations/sebronas/;200;True
сеяяес*;http://penteli.meteo.gr/stations/serres/;200;True
сетта еубоиас*;http://penteli.meteo.gr/stations/setta/;200;True
сгтеиа*;http://penteli.meteo.gr/stations/sitia/;200;True
силымопетяа;http://penteli.meteo.gr/stations/simonopetra/;200;True
симдос*;http://penteli.meteo.gr/stations/sindos/;200;True
сйа аттийгс*;http://penteli.meteo.gr/stations/ska/;200;True
сйиахос*;http://penteli.meteo.gr/stations/skiathos/;200;True
сйопекос*;http://penteli.meteo.gr/stations/skopelos/;200;True
сйуяос*;http://penteli.meteo.gr/stations/skyros/;200;True
спаятг*;http://penteli.meteo.gr/stations/sparti/;200;True
спата*;http://penteli.meteo.gr/stations/spata/;200;True
спетсес*;http://penteli.meteo.gr/stations/spetses/;200;True
спгки яехулмоу*;http://penteli.meteo.gr/stations/spili/;200;True
стауяайиа гяайкеиоу*;http://penteli.meteo.gr/stations/stavrakia/;200;False
стелмитса аяйадиас*;http://penteli.meteo.gr/stations/stemnitsa/;200;True
стемг еубоиас*;http://penteli.meteo.gr/stations/steni/;200;True
стяатыми вакйид.*;http://penteli.meteo.gr/stations/stratoni/;200;True
стуяа еубоиас*;http://penteli.meteo.gr/stations/styra/;200;True
сжайиа*;http://penteli.meteo.gr/stations/sfakia/;200;True
своимоуса*;http://penteli.meteo.gr/stations/schinoussa/;200;True
тамацяа еаб*;http://penteli.meteo.gr/stations/tanagra/;200;True
татои*;http://penteli.meteo.gr/stations/tatoi/;200;True
тфеялиадым*;http://penteli.meteo.gr/stations/tzermiado/;200;True
тгмос*;http://penteli.meteo.gr/stations/tinos/;200;True
тяиамтажуккиа жкыяимас*;http://penteli.meteo.gr/stations/triantafyllia/;200;True
тяийака йояимхиас*;http://penteli.meteo.gr/stations/trikalakorinthias/;200;True
тяийака*;http://penteli.meteo.gr/stations/trikala/;200;True
тяипокг*;http://penteli.meteo.gr/stations/tripoli/;200;False
тяистемо иыам.*;http://penteli.meteo.gr/stations/tristeno/;200;True
тсаламтас хеспяытиас*;http://penteli.meteo.gr/stations/tsamantas/;404;False
тсепекобо*;http://penteli.meteo.gr/stations/tsepelovo/;200;True
туяиа иыаммимым*;http://penteli.meteo.gr/stations/tyria/;200;True
удяа*;http://penteli.meteo.gr/stations/hydra/;200;True
улгттос йояужг*;http://penteli.meteo.gr/stations/imittos/;404;False
улгттос-дажмг*;http://penteli.meteo.gr/stations/imittos-dafni/;200;True
жакасаяма вамиым*;http://penteli.meteo.gr/stations/falasarna/;200;True
жакгяо-сеж*;http://penteli.meteo.gr/stations/athensmarina/;200;True
жикиатяа*;http://penteli.meteo.gr/stations/filiatra/;200;True
жимойакиа касIхиоу*;http://penteli.meteo.gr/stations/finokalia/;200;True
жкалпоуяа пяебефас*;http://penteli.meteo.gr/stations/flaboura/;200;True
жкыяима*;http://penteli.meteo.gr/stations/florina/;200;False
жоког гкеиас*;http://penteli.meteo.gr/stations/foloi/;200;False
жоуямои*;http://penteli.meteo.gr/stations/fournoi/;200;True
жоуяжоуяас  яехулмоу*;http://penteli.meteo.gr/stations/fourfouras/;200;True
жытокибос дяалас*;http://penteli.meteo.gr/stations/fotolivos/;200;True
ваидаяи*;http://penteli.meteo.gr/stations/chaidari/;200;True
вакамдяитса*;http://penteli.meteo.gr/stations/chalandritsa/;200;False
вакйида*;http://penteli.meteo.gr/stations/chalkida/;200;False
вамиа аЙЯЫТчЯИ*;penteli.meteo.gr/stations/chania/;200;True
вамиа йемтяо*;http://penteli.meteo.gr/stations/chaniacenter/;200;True
ваяойопеио-йаккихеа*;http://meteoclima.hua.gr/stations/Harokopio-Athens/;200;True
виос*;http://penteli.meteo.gr/stations/chios/;200;True
виос-иымиа*;http://penteli.meteo.gr/stations/chios-ionia/;200;True
виос-йаядалука*;http://penteli.meteo.gr/stations/kardamyla/;200;True
виос-покг*;http://penteli.meteo.gr/stations/chiostown/;200;True
ьувийо*;http://penteli.meteo.gr/stations/psychico/;200;True
ыкемг гкеиас*;http://penteli.meteo.gr/stations/oleni/;200;True
